dies,Xina,Europa,Iran,Itàlia,Corea del Sud,Espanya,Girona,Catalunya,Dobla cada día,Dobla cada dos dies,Dobla cada 3 dies
día 0,NA,100,100,100,100,100,103,124,100,100,100
día 1,NA,197,139,155,204,120,134,156,200,141.4213562373095,125.99210498948732
día 2,NA,275,245,229,433,165,181,260,400,200.00000000000006,158.74010519681997
día 3,NA,379,388,322,602,222,221,316,800,282.8427124746191,200
día 4,NA,538,593,453,833,259,256,509,1600,400.0000000000001,251.98420997897463
día 5,548,802,978,655,977,400,360,715,3200,565.6854249492383,317.48021039363994
día 6,641,1091,1501,888,1261,500,543,903,6400,800.0000000000003,400.0000000000001
día 7,918,1463,2336,1128,1766,673,706,1394,12800,1131.3708498984765,503.9684199579494
día 8,1401,2200,2922,1694,2337,1073,877,1866,25600,1600.0000000000007,634.9604207872799
día 9,2067,2726,3513,2036,3150,1695,969,2702,51200,2262.741699796953,800.0000000000002
día 10,2869,3355,4747,2502,3736,2277,683,3270,102400,3200.0000000000023,1007.9368399158988
día 11,5501,4337,5823,3089,4335,3754,742,4203,124736,4525.483399593907,1269.9208415745597
día 12,6077,5737,6566,3858,5186,5232,808,4704,,6400.0000000000055,1600.0000000000005
día 13,8131,7499,7161,4636,5621,6391,988,5925,NA,9050.966799187816,2015.8736798317975
día 14,9790,9643,8042,5883,6088,7798,1180,7864,NA,12800.000000000011,2539.84168314912
día 15,11878,12183,9000,7375,6593,9942,1300,9937,NA,18101.933598375635,3200.000000000001
día 16,16615,14967,10182,9172,7041,11748,1450,11592,NA,25600.00000000003,4031.7473596635955
día 17,19701,18362,11364,10149,7314,13910,1608,12940,NA,36203.86719675128,5079.68336629824
día 18,23690,23420,12729,12462,7478,17963,1731,14263,NA,51200.000000000065,6400.000000000003
día 19,27419,30825.5,13938,15061,7513,20410,1771,15026,NA,72407.73439350256,8063.494719327191
día 20,30563,38231,14991,17660,7755,25374,1844,16157,NA,102400.00000000013,10159.36673259648
día 21,34085,46415,16169,21157,7867,28768,1941,18773,NA,NA,12800.000000000005
día 22,36788,54799,17361,24747,7979,35136,1986,19991,NA,NA,16126.989438654382
día 23,39800,65552,18407,27980,8086,56188,2164,21804,NA,NA,20318.733465192963
día 24,42316,76691,19644,31506,8162,64059,2213,23460,NA,NA,25600.00000000001
día 25,44337,90340,20610,35713,8236,72248,2266,24734,NA,NA,32253.97887730877
día 26,44709,108750,21638,41035,8320,78797,2328,26032,NA,NA,40637.46693038593
día 27,59842,129336,23049,47021,8413,85195,2410,26824,NA,NA,51200.00000000002
día 28,66302,151038,NA,53578,8565,94417,2459,28323,NA,NA,64507.95775461754
día 29,68357,170610,NA,59138,8652,102136,,29649,NA,NA,81274.93386077187
día 30,70456,196285,NA,63927,8799,110238,,31043,NA,NA,102400.00000000007
día 31,72374,NA,NA,NA,8961,117710,,31824,NA,NA,NA
día 32,74149,NA,NA,NA,8961,130759,,32984,NA,NA,NA
día 33,74556,NA,NA,NA,NA,135032,,34027,NA,NA,NA
día 34,75009,NA,NA,NA,NA,140510,,34726,NA,NA,NA
día 35,75482,NA,NA,NA,NA,146690,,36505,NA,NA,NA
día 36,76932,NA,NA,NA,NA,152446,,,NA,NA,NA
día 37,76948,NA,NA,NA,NA,157022,,,NA,NA,NA
día 38,,,,,,161852,,,,,
día 39,,,,,,166019,,,,,
Día 40,,,,,,169456,,,,,
Día 41,,,,,,172541,,,,,
Dia 42,,,,,,177633,,,,,
