DATA,Casos confirmats,Altes,Greus,Morts totals,Morts hospitalàries
9 de març,101,null,5,null,3
10 de març,125,null,18,null,3
11 de març,180,null,20,null,4
12 de març,315,null,25,null,6
13 de març,508,null,35,null,6
14 de març,715,null,41,null,8
15 de març,903,null,52,null,12
16 de març,1394,null,74,null,18
17 de març,1866,null,65,null,41
18 de març,2702,null,92,null,55
19 de març,3270,null,98,null,82
20 de març,4203,150,312,null,122
21 de març,4704,644,449,null,191
22 de març,5925,728,551,null,245
23 de març,7864,755,658,null,339
24 de març,9937,1274,781,null,516
25 de març,11592,1697,1021,null,672
26 de març,12940,2384,1187,null,880
27 de març,14263,3106,1324,null,1070
28 de març,15026,3455,1391,null,1226
29 de març,16157,4125,1512,null,1410
30 de març,18773,4966,1652,null,1672
31 de març,19991,5701,1769,null,1849
1 d'abril,21804,6917,1855,null,2093
2 d'abril,23460,7849,2053,null,2335
3 d'abril,24734,8635,2108,null,2508
4 d'abril,26032,9528,2249,null,2637
5 d'abril,26824,10088,2276,null,2760
6 d'abril,28323,10738,2391,null,2908
7 d'abril,29647,12250,2442,null,3041
8 d'abril,31043,13063,2507,null,3148
9 d'abril,31727,13513,2582,null,3231
10 d'abril,32984,14298,2629,null,3331
11 d'abril,34027,14975,2658,null,3442
12 d'abril,34726,15602,2713,null,3538
13 d'abril,35197,15967,2775,null,3666
14 d'abril,36505,16651,2789,null,3756
15 d'abril,39375,17297,2798,7097,3855
16 d'abril,39736,18724,2886,7576,4056
17 d'abril,40988,19088,2899,7881,4123
18 d'abril,41992,19815,2911,8067,4336
19 d'abril,42610,20881,3063,8273,4576
20 d'abril,43695,22417,3216,8441,4904
21 d'abril,44793,23891,3307,8845,5080
22 d'abril,45875,24787,3362,9050,5290
23 d'abril,46629,25984,3413,9186,5396
24 d'abril,47633,27075,3426,9492,5558
25 d'abril,48273,27379,3785,9646,5613
26 d'abril,49088,27849,3808,9764,5685
27 d'abril,50162,28934,3827,9923,5769
28 d'abril,51672,29574,3843,10073,5835
29 d'abril,54324,30190,3857,10211,5897
30 d'abril,55137,30751,3863,10311,5952
1 de maig,57093,31236,3881,10401,5987
2 de maig,57363,31464,3895,10452,6034
3 de maig,57506,31717,3905,10508,6094
4 de maig,57900,31964,3907,10682,6153
5 de maig,58559,32716,3911,10785,6247
6 de maig,59621,33241,3921,10831,6286
7 de maig,60007,33679,3926,10965,6344
8 de maig,60404,34117,3928,11050,6375
9 de maig ,60605,34427,3941,11109,6408
10 de maig,60728,34577,3945,11160,6423
11 de maig,60976,34785,3947,11248,6455
12 de maig,61355,35130,3953,11351,6485
13 de maig,61677,35443,3962,11403,6510
14 de maig,62615,35616,3962,11440,6536
15 de maig,63114,35731,3978,11477,6557
16 de maig,63339,35949,3982,11511,6572
17 de maig,63441,36095,3985,11554,6595
18 de maig,60148,36208,3994,11666,6614
