CCAA;Andalucía;Aragón;Asturias;Baleares;Canarias;Cantabria;Castilla-La Mancha;Castilla y León;Cataluña;Ceuta;C. Valenciana;Extremadura;Galicia;Madrid;Melilla;Murcia;Navarra;País Vasco;La Rioja;Total;Dobla cada dos dies;Dobla cada 3 dies;dobla cada semana
1;35;38;47;30;37;31;39;56;49;;30;39;39;49;38;35;46;45;;32;100;100;32.81341424030549
2;54;45;67;28;51;51;71;71;75;;30;66;35;70;;47;73;45;39;44;141.4213562373095;125.99210498948732;36.22894657055623
3;71;64;92;28;70;58;115;92;124;;37;95;85;90;;71;130;102;55;66;200.00000000000006;158.74010519681997;39.99999999999996
4;90;80;137;73;90;58;194;169;156;;37;111;115;137;;77;146;149;81;114;282.8427124746191;200;44.163580546952446
5;115;80;177;92;109;68;289;223;260;;50;153;195;174;;97;183;195;144;150;400.0000000000001;251.98420997897463;48.760546168178955
6;219;147;193;112;119;83;401;292;316;;65;194;245;202;;122;274;225;179;198;565.6854249492383;317.48021039363994;53.83600770529418
7;269;174;242;169;148;144;567;334;509;;76;241;292;469;;167;313;346;205;237;800.0000000000003;400.0000000000001;59.439771565477855
8;437;207;292;203;181;215;567;431;715;;94;297;341;782;;204;386;417;243;365;1131.3708498984765;503.9684199579494;65.62682848061094
9;554;226;344;246;220;282;675;668;903;;130;354;453;1024;;240;482;417;278;430;1600.0000000000007;634.9604207872799;72.45789314111242
10;683;281;486;331;287;347;801;868;1394;;409;384;578;1388;;296;554;630;300;589;2262.741699796953;800.0000000000002;79.99999999999987
11;859;360;545;400;348;425;1044;1147;1866;;409;493;739;1990;;345;664;630;312;999;3200.0000000000023;1007.9368399158988;88.32716109390483
12;1008;424;594;478;414;510;1423;1466;2702;;541;636;915;2940;;385;794;765;355;1622;4525.483399593907;1269.9208415745597;97.52109233635785
13;1287;532;662;562;481;;1819;1744;3270;;726;742;1208;3544;;477;886;973;419;2128;6400.0000000000055;1600.0000000000005;107.67201541058827
14;1515;638;779;;557;;2078;2055;4203;;921;;1415;4165;;;1014;1190;468;2950;9050.966799187816;2015.8736798317975;118.87954313095564
15;1725;758;;;657;;2465;2460;4704;;1105;;1653;4871;;;1197;1465;497;4209;12800.000000000011;2539.84168314912;131.2536569612218
16;1961;907;;;;;2780;2940;5925;;1363;;;5637;;;;1725;564;5753;18101.933598375635;3200.000000000001;144.91578628222476
17;2471;;;;;;;;7864;;1604;;;6777;;;;2097;654;7753;25600.00000000003;4031.7473596635955;159.99999999999966
18;3010;;;;;;;;9937;;1901;;;7165;;;;2421;747;9191;36203.86719675128;5079.68336629824;176.65432218780956
19;;;;;;;;;;;2167;;;8921;;;;2728;802;11178;51200.000000000065;6400.000000000003;195.0421846727156
20;;;;;;;;;;;2616;;;9702;;;;3271;928;13716;72407.73439350256;8063.494719327191;215.34403082117646
21;;;;;;;;;;;;;;10575;;;;;;17147;102400.00000000013;10159.36673259648;237.75908626191114
22;;;;;;;;;;;;;;12352;;;;;;19980;NA;12800.000000000005;262.5073139224435
23;;;;;;;;;;;;;;14597;;;;;;24926;NA;16126.989438654382;289.83157256444935
24;;;;;;;;;;;;;;;;;;;;28572;NA;20318.733465192963;319.9999999999991
25;;;;;;;;;;;;;;;;;;;;33089;NA;25600.00000000001;353.30864437561894
26;;;;;;;;;;;;;;;;;;;;39673;NA;32253.97887730877;390.084369345431
27;;;;;;;;;;;;;;;;;;;;47610;NA;40637.46693038593;
28;;;;;;;;;;;;;;;;;;;;;NA;51200.00000000002;
;;;;;;;;;;;;;;;;;;;;;NA;64507.95775461754;
;;;;;;;;;;;;;;;;;;;;;NA;81274.93386077187;
;;;;;;;;;;;;;;;;;;;;;NA;102400.00000000007;
