fecha,casos,fallecimientos,casos_diarios,muertos diarios
2020-02-25,3,,,
2020-02-26,10,,7,
2020-02-27,16,,6,
2020-02-28,32,,16,
2020-02-29,44,,12,
2020-03-01,66,,22,
2020-03-02,114,,48,
2020-03-03,135,,21,
2020-03-04,198,1,63,
2020-03-05,237,3,39,2
2020-03-06,365,5,128,2
2020-03-07,430,8,65,3
2020-03-08,589,17,159,9
2020-03-09,999,17,410,0
2020-03-10,1622,35,623,18
2020-03-11,2128,47,506,12
2020-03-12,2950,84,822,37
2020-03-13,4209,120,1259,36
2020-03-14,5753,136,1544,16
2020-03-15,7753,288,2000,152
2020-03-16,9191,309,1438,21
2020-03-17,11178,491,1987,182
2020-03-18,13716,598,2538,107
2020-03-19,17147,767,3431,169
2020-03-20,19980,1002,2833,235
2020-03-21,24926,1326,4946,324
2020-03-22,28572,1720,3646,394
2020-03-23,33089,2182,4517,462
2020-03-24,39673,2696,6584,514
2020-03-25,47610,3434,7937,738
2020-03-26,56188,4089,8578,655
2020-03-27,64059,4858,7871,769
2020-03-28,72248,5690,8189,832
2020-03-29,78797,6528,6549,838
2020-03-30,85195,7340,6398,812
2020-03-31,94417,8189,9222,849
2020-04-01,102136,9053,7719,864
